,Title,Price,Currency,Rating,Number of reviews,Original Price,Main Genre
0,Otto's Tales: Let's Visit the Liberty Bell,13.0,$,4.7,17.0,13.0,Children's book
1,Toofer & The Giblet Season of Light,18.99,$,1.0,1.0,18.99,Children's book
2,Annalise and the Baking Blunder: Giggle Girls Series 1,8.9,$,,,8.9,Children's book
3,My First Library: Boxset of 10 Board Books for Kids,16.43,$,4.6,82203.0,24.99,Children's book
4,Mostly What God Does is Love You,15.98,$,4.4,12.0,19.99,Children's book
5,Dr. Seuss's Beginner Book Boxed Set Collection: The Cat in the Hat; One Fish Two Fish Red Fish Blue Fish; Green Eggs and Ham; Hop on Pop; Fox in Socks,26.47,$,4.9,24892.0,49.95,Children's book
6,Otto's Tales: Let's Visit the Liberty Bell,13.0,$,4.7,17.0,13.0,Children's book
7,What Should Danny Do? (The Power to Choose Series),11.03,$,4.8,24828.0,21.99,Children's book
8,My First Library: Boxset of 10 Board Books for Kids,16.43,$,4.6,82203.0,24.99,Children's book
9,75 Years of Little Golden Books: 1942-2017: A Commemorative Set of 12 Best-Loved Books,28.68,$,4.8,2762.0,71.88,Children's book
10,Grumpy Monkey,9.98,$,4.8,25700.0,17.99,Children's book
11,The Rainbow Fish,5.04,$,4.8,6798.0,9.95,Children's book
12,I Love You to the Moon and Back,4.92,$,4.9,77325.0,7.99,Children's book
13,The Klutz Book of Paper Airplanes (Klutz Activity Kit),10.92,$,4.7,8096.0,16.95,Children's book
14,The Wonderful Things You Will Be,11.73,$,4.9,31291.0,17.99,Children's book
15,If You Give a Mouse a Cookie,10.99,$,4.8,13603.0,10.99,Children's book
16,"Brown Bear, Brown Bear, What Do You See?",4.55,$,4.9,54180.0,4.55,Children's book
17,The Stories of Tommy the Town Keeper,15.89,$,,,15.89,Children's book
18,Bonny's Debut (Porkington's World),8.99,$,,,8.99,Children's book
19,"My First Four: Colorful and Activity-Packed Letters, Numbers, Shapes, and Animals | The Perfect Children's Activity Book",11.85,$,,,11.85,Children's book
20,Where the Wild Things Are: A Caldecott Award Winner,12.95,$,4.9,36494.0,21.99,Children's book
21,The Very Hungry Caterpillar,5.77,$,4.9,76541.0,5.77,Children's book
22,The Giving Tree,10.98,$,4.9,35036.0,19.99,Children's book
23,How to Catch a Leprechaun: A Saint Patrick's Day Book for Kids,7.36,$,4.8,11138.0,10.99,Children's book
24,Love You Forever,4.98,$,4.9,65115.0,5.95,Children's book
25,I Love You Like No Otter: A Funny and Sweet Animal Board Book for Babies and Toddlers this Easter (Punderland),5.37,$,4.9,12447.0,8.99,Children's book
26,"See You Later, Alligator",14.42,$,4.8,2453.0,16.99,Children's book
27,Chicka Chicka Boom Boom (Board Book),4.06,$,4.9,40080.0,7.99,Children's book
28,Giraffes Can't Dance,6.5,$,4.8,29641.0,6.5,Children's book
29,"Oh, the Places You'll Go!",8.48,$,4.9,52070.0,18.99,Children's book
30,Dragons Love Tacos,9.97,$,4.8,20011.0,18.99,Children's book
31,The Wonky Donkey,5.28,$,4.8,84955.0,7.99,Children's book
32,The Beginner's Bible: Timeless Children's Stories,11.71,$,4.9,26221.0,22.99,Children's book
33,Guess How Much I Love You,4.56,$,4.9,12678.0,8.99,Children's book
34,"Oh, Baby, the Places You'll Go!",5.49,$,4.8,7478.0,9.99,Children's book
35,The Colorless Sara Short,11.16,$,4.6,59.0,11.99,Children's book
36,Funkelnde Träume und magische Wesen: Einhornglanz und Feenstaub (German Edition),14.6,$,,,14.6,Children's book
37,75 Years of Little Golden Books: 1942-2017: A Commemorative Set of 12 Best-Loved Books,28.68,$,4.8,2762.0,71.88,Children's book
38,Rise of the Cyber Threats,14.0,$,,,14.0,Children's book
39,Adventures with Alex: Exploring Paris,12.99,$,4.8,66.0,12.99,Children's book
40,"More, More, More!",10.5,$,,,10.5,Children's book
41,Corduroy,4.28,$,4.9,19925.0,7.99,Children's book
42,"Harry Potter and the Sorcerer's Stone: The Illustrated Edition (Harry Potter, Book 1)",18.63,$,4.9,16955.0,39.99,Children's book
43,Goodnight Moon,7.2,$,4.9,30244.0,10.99,Children's book
44,Where's Spot?,4.25,$,4.8,34835.0,7.99,Children's book
45,Little Blue Truck's Springtime: An Easter And Springtime Book For Kids,9.36,$,4.8,16370.0,13.99,Children's book
46,You're My Little Cuddle Bug,5.08,$,4.9,8430.0,8.99,Children's book
47,Ultimate Princess Boxed Set of 12 Little Golden Books (Disney Princess),34.98,$,4.8,917.0,59.88,Children's book
48,"Magic Tree House Boxed Set, Books 1-4: Dinosaurs Before Dark, The Knight at Dawn, Mummies in the Morning, and Pirates Past Noon",14.98,$,4.8,22960.0,23.96,Children's book
49,The Day the Crayons Quit,9.5,$,4.8,24206.0,17.99,Children's book
50,The Book with No Pictures,11.54,$,4.8,20109.0,17.99,Children's book
51,"Kindness is my Superpower: A children's Book About Empathy, Kindness and Compassion (My Superpower Books)",7.83,$,4.8,5835.0,12.99,Children's book
52,Our Little Adventures: Stories Featuring Foundational Language Concepts for Growing Minds (Our Little Adventures Series),20.49,$,4.9,2719.0,29.99,Children's book
53,"Robin and Naira: Burrito Buddies!: A toy friendship story for early readers, emotional, heartwarming and funny. A story about courage and being yourself with coloured illustrations",21.2,$,5.0,4.0,21.2,Children's book
54,Corduroy's Tiny Treasury,10.99,$,4.7,394.0,11.99,Children's book
55,The Book of Cultures: 30 stories to discover the world (diverse book for children),14.49,$,4.5,31.0,35.0,Children's book
56,What Do You Do With an Idea? — New York Times best seller,8.92,$,4.8,6053.0,17.95,Children's book
57,"The Invisible String (The Invisible String, 1)",6.99,$,4.8,20915.0,9.99,Children's book
58,100 First Words (Ms. Rachel) (Books by Ms. Rachel),6.99,$,4.8,310.0,9.99,Children's book
59,Happy Birthday to You!,7.78,$,4.8,16335.0,16.99,Children's book
60,"World of Eric Carle, Around the Farm 30-Button Animal Sound Book - Great for First Words - PI Kids",11.99,$,4.8,24494.0,16.98,Children's book
61,My Magical Choices - Teach Kids to Choose a Great Day with their Choices!,16.19,$,4.8,4038.0,17.99,Children's book
62,Pete the Cat 12-Book Phonics Fun!: A Box of 12 Mini-Books Featuring Short and Long Vowel Sounds (My First I Can Read),11.99,$,4.7,10556.0,15.99,Children's book
63,Where's Bluey?: A Search-and-Find Book,6.99,$,4.8,7995.0,8.99,Children's book
64,Junie B. Jones's First Boxed Set Ever! (Books 1-4),11.49,$,4.8,19826.0,19.96,Children's book
65,Amelia Bedelia Chapter Book 4-Book Box Set: Books 1-4,15.4,$,4.8,8207.0,27.96,Children's book
66,Llama Llama I Love You,5.68,$,4.8,11837.0,7.99,Children's book
67,Grumpy Monkey,9.98,$,4.8,25700.0,17.99,Children's book
68,Short Stories From Panchatantra (Classic Tales From India),24.99,$,4.5,929.0,24.99,Children's book
69,"Marshall, the Courthouse Mouse: A Tail of the U. S. Supreme Court (Little Patriot Press)",18.99,$,4.9,33.0,18.99,Children's book
70,Grandma Loves You!,7.11,$,4.9,7436.0,7.99,Children's book
71,The Adventures of Peepers | Le Avventure di Peepers: Bilingual Children's Books With Illustrations (English & Italian) (The Adventures of Peepers | ... (Italian Edition),17.49,$,,,17.49,Children's book
72,Insect Heaven,24.99,$,5.0,1.0,24.99,Children's book
73,Enoch’s Adventures: The Kingdom Keys,10.0,$,5.0,3.0,10.0,Children's book
74,How to Catch a Dinosaur,6.94,$,4.8,16878.0,10.99,Children's book
75,How to Catch the Easter Bunny,6.48,$,4.8,9915.0,10.99,Children's book
76,Hot Dog: (Winner of the 2023 Caldecott Medal),13.69,$,4.8,539.0,19.99,Children's book
77,The Cat in the Hat,5.98,$,4.9,21541.0,9.99,Children's book
78,Potty Time with Bean (Ms. Rachel) (Books by Ms. Rachel),6.99,$,4.8,411.0,9.99,Children's book
