,Title,Price,Currency,Rating,Number of reviews,Original Price,Main Genre
0,Sundays with Grandma,20.99,$,,,20.99,Children's book
1,The Enchanted Post: Letters To Santa Claus,24.99,$,5.0,6.0,24.99,Children's book
2,Paces and Cringer - Cat Detectives,7.5,$,5.0,3.0,7.5,Children's book
3,Dr. Seuss's Beginner Book Boxed Set Collection: The Cat in the Hat; One Fish Two Fish Red Fish Blue Fish; Green Eggs and Ham; Hop on Pop; Fox in Socks,26.47,$,4.9,24893.0,49.95,Children's book
4,The Rainbow Fish,5.04,$,4.8,6797.0,9.95,Children's book
5,My First Library: Boxset of 10 Board Books for Kids,16.43,$,4.6,82204.0,24.99,Children's book
6,The Colorless Sara Short,11.16,$,4.6,59.0,11.99,Children's book
7,Grumpy Monkey,9.98,$,4.8,25701.0,17.99,Children's book
8,My First Library: Boxset of 10 Board Books for Kids,16.43,$,4.6,82204.0,24.99,Children's book
9,How to Catch a Dinosaur,6.94,$,4.8,16878.0,10.99,Children's book
10,The Trouble with Children (According to Dog),12.95,$,4.7,695.0,18.95,Children's book
11,I Love You to the Moon and Back,5.79,$,4.9,77326.0,7.99,Children's book
12,The Klutz Book of Paper Airplanes (Klutz Activity Kit),10.92,$,4.7,8096.0,16.95,Children's book
13,The Wonderful Things You Will Be,11.73,$,4.9,31290.0,17.99,Children's book
14,Mostly What God Does is Love You,15.98,$,4.4,12.0,19.99,Children's book
15,"Brown Bear, Brown Bear, What Do You See?",4.55,$,4.9,54180.0,4.55,Children's book
16,I Love You Like No Otter: A Funny and Sweet Animal Board Book for Babies and Toddlers this Easter (Punderland),5.37,$,4.9,12447.0,8.99,Children's book
17,"Strong Minds, Big Dreams: How Boys Can Build Confidence, Overcome Challenges, and Succeed in Life (Inspiring and Motivational Book for Boys)",17.77,$,,,17.77,Children's book
18,Around the World: Carlos Climbs the Ladder — Peru,9.0,$,,,9.0,Children's book
19,What Should Danny Do? (The Power to Choose Series),11.03,$,4.8,24828.0,21.99,Children's book
20,Where the Wild Things Are: A Caldecott Award Winner,12.95,$,4.9,36495.0,21.99,Children's book
21,If You Give a Mouse a Cookie,10.99,$,4.8,13603.0,10.99,Children's book
22,The Giving Tree,10.98,$,4.9,35036.0,19.99,Children's book
23,Love You Forever,4.98,$,4.9,65115.0,5.95,Children's book
24,Dragons Love Tacos,9.97,$,4.8,20010.0,18.99,Children's book
25,Chicka Chicka Boom Boom (Board Book),4.06,$,4.9,40079.0,7.99,Children's book
26,The Wonky Donkey,5.28,$,4.8,84953.0,7.99,Children's book
27,The Very Hungry Caterpillar,5.77,$,4.9,76542.0,5.77,Children's book
28,Giraffes Can't Dance,6.5,$,4.8,29642.0,6.5,Children's book
29,Goodnight Moon,7.2,$,4.9,30245.0,10.99,Children's book
30,How to Catch a Leprechaun: A Saint Patrick's Day Book for Kids,7.36,$,4.8,11138.0,10.99,Children's book
31,"World of Eric Carle, Around the Farm 30-Button Animal Sound Book - Great for First Words - PI Kids",11.99,$,4.8,24494.0,16.98,Children's book
32,"See You Later, Alligator",14.42,$,4.8,2454.0,16.99,Children's book
33,Guess How Much I Love You,4.56,$,4.9,12678.0,8.99,Children's book
34,75 Years of Little Golden Books: 1942-2017: A Commemorative Set of 12 Best-Loved Books,28.68,$,4.8,2762.0,71.88,Children's book
35,When The Sky Roars,13.95,$,4.7,622.0,18.95,Children's book
36,Bonny's Debut (Porkington's World),8.99,$,,,8.99,Children's book
37,The Colorless Sara Short,11.16,$,4.6,59.0,11.99,Children's book
38,The Joy Troll,8.9,$,4.8,18.0,8.9,Children's book
39,Charlie’s ABC Adventure: A Fun-Filled Journey Through the Alphabet,10.99,$,,,10.99,Children's book
40,Ode to a Pug,14.89,$,4.6,11.0,14.89,Children's book
41,Corduroy,4.28,$,4.9,19925.0,7.99,Children's book
