Title,API Title,Authors,Publisher,Published Date,Description,Page Count,Print Type,Categories,Average Rating,Ratings Count,Language
Sundays with Grandma,700 Sundays,['Billy Crystal'],Grand Central Publishing,2006-10-24,"To support his family, Billy Crystal's father, Jack, worked two jobs, having only one day a week to spend with his family. Based on Crystal's one-man Broadway show of the same name, ""700 Sundays""--referring sadly to the time shared by an adoring father and his devoted son--offers a heartfelt, hilarious memoir.",94.0,BOOK,['Biography & Autobiography'],,,en
The Enchanted Post: Letters To Santa Claus,The Rattle of Theta Chi,[],Theta Chi Fraternity Inc,1952,,36.0,BOOK,[],,,en
Paces and Cringer - Cat Detectives,Paces and Cringer - Cat Detectives,['Richard Sloane'],Independently Published,2024-12-11,"Paces and Cringer, two clever Bengal cats, secretly lead double lives as detectives, solving mysteries and fighting crime in their neighborhood. Their adventures blend humor, heart, and suspense, with each case connecting to their arch-nemesis, the cunning Mr. Whiskers. Alongside their quirky ally, PJ the chaotic robin, they navigate hilarious disguises, daring infiltrations, and unexpected bonds with other animals.",0.0,BOOK,[],,,en
Dr. Seuss's Beginner Book Boxed Set Collection: The Cat in the Hat; One Fish Two Fish Red Fish Blue Fish; Green Eggs and Ham; Hop on Pop; Fox in Socks,Dr. Seuss's Beginner Book Collection,['Dr. Seuss'],National Geographic Books,2009-09,"Offers five classic Dr. Seuss tales, including the popular story featuring a rainy day visit by the Cat in the Hat.",0.0,BOOK,['Juvenile Fiction'],,,en
The Rainbow Fish,The Rainbow Fish,['Marcus Pfister'],Simon and Schuster,1992,Summary: The most beautiful fish in the entire ocean discovers the real value of personal beauty and friendship.,32.0,BOOK,['Juvenile Fiction'],3.0,5.0,en
My First Library: Boxset of 10 Board Books for Kids,My First Library - Set of 10 Books (Box Set) - Kids Learning Board Books,['Moonstone'],Rupa Publications India,2022-08-05,This mini library of 10 board books will help your child learn more about their world and embrace the little genius within. Its well-researched words and colourful photos will develop your child's vocabulary and observation skills.,0.0,BOOK,['Education'],,,en
The Colorless Sara Short,The Colorless Sara Short,['S. Michael Smith'],,2024-06-09,,0.0,BOOK,[],,,en
Grumpy Monkey,Grumpy Monkey,['Suzanne Lang'],Random House Studio,2018-05-15,"The hilarious #1 New York Times bestselling classic picture book about a chimpanzee in a very bad mood--perfect for young children learning how to deal with confusing feelings. Jim the chimpanzee is in a terrible mood for no good reason. His friends can't understand it--how can he be in a bad mood when it's SUCH a beautiful day? They have lots of suggestions for how to make him feel better. But Jim can't take all the advice...and has a BIT of a meltdown. Could it be that he just needs a day to feel grumpy? Suzanne and Max Lang bring hilarity and levity to this very important lesson on emotional literacy, demonstrating to kids that they are allowed to feel their feelings. Grumpy Monkey is the first title in a series of books targeted at different ages that encourage kids to feel their feelings.",20.0,BOOK,['Juvenile Fiction'],,,en
My First Library: Boxset of 10 Board Books for Kids,My First Library - Set of 10 Books (Box Set) - Kids Learning Board Books,['Moonstone'],Rupa Publications India,2022-08-05,This mini library of 10 board books will help your child learn more about their world and embrace the little genius within. Its well-researched words and colourful photos will develop your child's vocabulary and observation skills.,0.0,BOOK,['Education'],,,en
How to Catch a Dinosaur,How to Catch a Dinosaur,['Adam Wallace'],"Sourcebooks, Inc.",2019-09-03,"From the New York Times and USA Today bestselling team comes a dinomite How to Catch adventure sure to delight any dinosaur fan this Valentine's Day! Do dinosaurs still walk among us? Sure, no one has seen one, but if alligators, whales, and even birds still exist, then dinosaurs must still exist, right? Join the daring How to Catch Kids as they try to wrangle a dinosaur in time for the school science fair and prove they're still around! Parents, young readers, dinosaur lovers, and educators alike will roar with laughter in this dinosaur picture book that blends STEAM concepts with hilarity and clever chaos. Do YOU have what it takes to pluck a prehistoric pal? Perfect for kids ages 4-10, this fun story makes a great birthday and back to school gift, stocking and basket stuffer, or read aloud for any occasion! Can you catch a dinosaur and prove they're still around? Use your brain and set your traps to get that dino found! Also in the How to Catch Series: How to Catch a Unicorn How to Catch a Mermaid How to Catch a Dragon How to Catch a Monster How to Catch an Loveosaurus and more!",40.0,BOOK,['Juvenile Fiction'],,,en
The Trouble with Children (According to Dog),The Trouble with Children (According to Dog),['Katie Weaver'],,2024-09,The family dog has a lot to get off his chest! This hilarious story celebrates the uproarious antics and sweet moments shared between a pet and playful kids.,0.0,BOOK,['Juvenile Fiction'],,,en
I Love You to the Moon and Back,I Love You to the Moon and Back,['Amelia Hepworth'],Tiger Tales,2024-09-17,"Show your child just how strong your love is every minute of the day with this sweet, gentle rhyme that's perfect for sharing. Now in a jacketed hardcover format! Show your child just how strong your love is every minute of the day with this sweet, gentle rhyme. An ideal gift for holidays, baby showers, birthdays, and new parents. The sun rises, and a bear and cub begin their day together. They splash in the water, climb mountains, watch the colorful lights in the shimmering sky, and play with friends. They show their love for each other by touching noses, chasing each other, and, of course, hugging and snuggling before bed. An ideal picture book for children ages 3-7 Perfect Mother's Day, Father's Day, Valentine's Day, baby showers, birthdays, and new parents",32.0,BOOK,['Juvenile Fiction'],,,en
The Klutz Book of Paper Airplanes (Klutz Activity Kit),The Klutz Book of Paper Airplanes,['Doug Stillinger'],,2004,"This complete guide to folding ten paper airplanes features step-by-step illustrations, along with trimming and tweaking tips that present basic principles of flight. Includes forty sheets of flight-tested, ready-to-fold paper, printed on both sides in a variety of twenty colorful patterns.",0.0,BOOK,['Juvenile Nonfiction'],,,en
The Wonderful Things You Will Be,The Wonderful Things You Will Be: Read & Listen Edition,['Emily Winfield Martin'],Random House Books for Young Readers,2015-08-25,"From Emily Winfield Martin, author/illustrator of Dream Animals, comes a new book that celebrates the dreams, acceptance, and love that parents have for their children . . . now and forever! From brave and bold to creative and clever, the rhythmic rhyme expresses all the loving things that parents think of when they look at their children. With beautiful, and sometimes humorous, illustrations, this is a book grown-ups will love reading over and over to kids—both young and old. A great gift for any occasion, but a special stand-out for baby showers, birthdays, and graduation. The Wonderful Things You Will Be has a loving and truthful message that will endure for lifetimes. This Read & Listen edition contains audio narration.",48.0,BOOK,['Juvenile Fiction'],,,en
Mostly What God Does is Love You,Mostly What God Does,['Savannah Guthrie'],Thomas Nelson,2024-02-20,"Guthrie persuasively renders the evolution of a hard-won religious belief that makes room for imperfection and ""does not require us to ignore... the sorrows we experience or the unjustness we see but to believe past it."" This openhearted offering inspires. - Publishers Weekly Mostly what God does is love you. If we could believe this, really believe this, how different would we be? How different would our lives be? How different would our world be? If you ever struggle with your connection to God (or whether you even feel connected to a faith at all!), you're not alone. Especially in our modern world, with its relentless, never-ending news cycle, we can all grapple with such questions. Do we do that alone, with despair and resignation? Or do we make sense of it with God, and with hope? In these uncertain times, could believing in the power of divine love make the most sense? In this collection of essays, Savannah Guthrie shares why she believes it does. Unspooling personal stories from her own joys and sorrows as a daughter, mother, wife, friend, and professional journalist, the award-winning TODAY show coanchor and New York Times bestselling author explores the place of faith in everyday life. Sharing hard-won wisdom forged from mountaintop triumphs, crushing failures, and even the mundane moments of day-to-day living, Mostly What God Does reveals the transformative ways that belief in God helps us discover real hope for this life and beyond. A perfect companion to your morning cup of coffee, this incisive volume—not a memoir but a beautiful tapestry of reflections crafted as a spiritual manual—includes: a fresh, biblically rooted look at six essentials of faith: love, presence, grace, hope, gratitude, and purpose; an honest exploration of questions, doubts, and fears about the love of God; a dose of encouragement for the faith-full, the faith-curious, and the faith-less; and …and much more. This deeply personal collection is designed to engage the practical ways that God loves you—not just the world, but you—and to inspire you to venture down a path of faith that is authentic, hopeful, destiny-shaping, and ultimately life-changing.",321.0,BOOK,['Religion'],,,en
"Brown Bear, Brown Bear, What Do You See?","Brown Bear, Brown Bear, What Do You See?","['Bill Martin, Jr.']",Macmillan,2012-10-02,"Children see a variety of animals, each one a different color, and a teacher looking at them. On board pages.",29.0,BOOK,['Juvenile Nonfiction'],,,en
