title,author_name,author_birth_year,author_death_year,translators,subjects,bookshelves,copyright,download_count
Alice's Adventures in Wonderland,"Carroll, Lewis",1832,1898,,"Alice (Fictitious character from Carroll) -- Juvenile fiction, Children's stories, Fantasy fiction, Imaginary places -- Juvenile fiction","Browsing: Children & Young Adult Reading, Browsing: Fiction, Children's Literature",False,56485
Adventures of Huckleberry Finn,"Twain, Mark",1835,1910,,"Adventure stories, Bildungsromans, Boys -- Fiction, Finn, Huckleberry (Fictitious character) -- Fiction, Fugitive slaves -- Fiction, Humorous stories, Male friendship -- Fiction, Mississippi River -- Fiction, Missouri -- Fiction, Race relations -- Fiction, Runaway children -- Fiction","Banned Books List from the American Library Association, Banned Books from Anne Haight's list, Best Books Ever Listings, Browsing: Culture/Civilization/Society, Browsing: Fiction, Browsing: Humour, Browsing: Literature",False,30660
The Scarlet Letter,"Hawthorne, Nathaniel",1804,1864,,"Adultery -- Fiction, Boston (Mass.) -- History -- Colonial period, ca. 1600-1775 -- Fiction, Clergy -- Fiction, Historical fiction, Illegitimate children -- Fiction, Married women -- Fiction, Psychological fiction, Puritans -- Fiction, Revenge -- Fiction, Triangles (Interpersonal relations) -- Fiction, Women immigrants -- Fiction","Banned Books from Anne Haight's list, Browsing: Culture/Civilization/Society, Browsing: Fiction, Browsing: History - American, Browsing: Literature",False,30540
A Christmas Carol in Prose; Being a Ghost Story of Christmas,"Dickens, Charles",1812,1870,,"Christmas stories, Ghost stories, London (England) -- Fiction, Misers -- Fiction, Poor families -- Fiction, Scrooge, Ebenezer (Fictitious character) -- Fiction, Sick children -- Fiction","Browsing: Children & Young Adult Reading, Browsing: Culture/Civilization/Society, Browsing: Fiction, Children's Literature, Christmas",False,15577
"The Adventures of Tom Sawyer, Complete","Twain, Mark",1835,1910,,"Adventure stories, Bildungsromans, Boys -- Fiction, Child witnesses -- Fiction, Humorous stories, Male friendship -- Fiction, Mississippi River Valley -- Fiction, Missouri -- Fiction, Runaway children -- Fiction, Sawyer, Tom (Fictitious character) -- Fiction","Banned Books List from the American Library Association, Banned Books from Anne Haight's list, Browsing: Children & Young Adult Reading, Browsing: Fiction, Browsing: Humour, Browsing: Literature",False,15114
Anne of Green Gables,"Montgomery, L. M. (Lucy Maud)",1874,1942,,"Bildungsromans, Canada -- History -- 1867-1914 -- Fiction, Country life -- Prince Edward Island -- Fiction, Friendship -- Fiction, Girls -- Fiction, Islands -- Fiction, Orphans -- Fiction, Prince Edward Island -- History -- 20th century -- Fiction, Shirley, Anne (Fictitious character) -- Fiction","Browsing: Children & Young Adult Reading, Browsing: Culture/Civilization/Society, Browsing: Fiction, Browsing: History - General, Canada, Children's Literature",False,14635
The Wonderful Wizard of Oz,"Baum, L. Frank (Lyman Frank)",1856,1919,,"Courage -- Juvenile fiction, Cowardly Lion (Fictitious character) -- Juvenile fiction, Cyclones -- Juvenile fiction, Dreams -- Juvenile fiction, Fantasy literature, Gale, Dorothy (Fictitious character) -- Juvenile fiction, Good and evil -- Juvenile fiction, Home -- Juvenile fiction, Oz (Imaginary place) -- Juvenile fiction, Scarecrow (Fictitious character from Baum) -- Juvenile fiction, Tin Woodman (Fictitious character) -- Juvenile fiction, Toto (Fictitious character) -- Juvenile fiction, Witches -- Juvenile fiction, Wizard of Oz (Fictitious character) -- Juvenile fiction","Browsing: Children & Young Adult Reading, Browsing: Fiction, Browsing: Science-Fiction & Fantasy, Children's Literature, Fantasy",False,14455
The Legend of Sleepy Hollow,"Irving, Washington",1783,1859,,"Ghosts -- Fiction, New York (State) -- History -- 1775-1865 -- Fiction","Browsing: Children & Young Adult Reading, Browsing: Fiction, Browsing: History - American, Browsing: Literature, Children's Literature, Harvard Classics",False,11937
Little Women,"Alcott, Louisa May",1832,1888,,"Autobiographical fiction, Bildungsromans, Domestic fiction, Family life -- New England -- Fiction, March family (Fictitious characters) -- Fiction, Mothers and daughters -- Fiction, New England -- Fiction, Sisters -- Fiction, Young women -- Fiction","Browsing: Children & Young Adult Reading, Browsing: Culture/Civilization/Society, Browsing: Fiction, Browsing: Literature, Children's Literature",False,11359
Winnie-the-Pooh,"Milne, A. A. (Alan Alexander)",1882,1956,,"Animals -- Juvenile fiction, Christopher Robin (Fictitious character) -- Juvenile fiction, Eeyore (Fictitious character) -- Juvenile fiction, Piglet (Fictitious character) -- Juvenile fiction, Teddy bears -- Juvenile fiction, Toys -- Juvenile fiction, Winnie-the-Pooh (Fictitious character) -- Juvenile fiction","Browsing: Children & Young Adult Reading, Browsing: Fiction",False,10108
